Id,User Id,Mentions,Hashtags,Filtered Text,Polarity,Subjectivity,Compound Score,Cluster Label,,
1.25E+18,3973735283,jimtankersley,,white hous economist project last septemb pandem unit state could kill k inflict,0,0.033333333,-0.4404,0,,
1.25E+18,1315384448,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,313449542,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,447863645,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,3365063908,black_bhoy_,,girlfriend found lipstick pocket admit straightway cheat want know sell makeu,0,0,-0.4404,0,,
1.25E+18,135899593,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,342793027,ANI,,initi author said everyon would get ration lockdown later deni give christian also,0,0,-0.4404,0,,
1.25E+18,4120844415,JulieReichwein1,,elect matter healthcar worker worri safeti busi worri stay busi amp famili,0,0,-0.4404,0,,
1.25E+18,18561601,saahilmenghani,"VERIFIED, CoronaLockdown",policemen deploy across delhi may target isi attack could,0,0,-0.4404,0,,
1.25E+18,2240365320,MohMayaaism_,,biggest rumour monger amplifi news media specif lutyen media worri aam junta,0,0,-0.4404,0,,
1.25E+18,2867096119,"JobWiwaSikala, DMwonzora",,side coin decept nt gting snake,0,0,-0.4404,0,,
1.25E+18,729079752,masterpIanmusic,,paul mccartney respond critic song,0,0,-0.4404,0,,
1.25E+18,9.05E+17,"kinkywaveblack, Anaujarb1, smokepoleboy1",,suck toe watch content,0,0,-0.4404,0,,
1.25E+18,384442726,anitapreye,,think fool answer,0,0,-0.4404,0,,
1.25E+18,1.17E+18,Koreaboo,,reveluv name april fool day iren day fansit group post photo hour,0,0,-0.4404,0,,
1.25E+18,1.21E+18,"LazyySaket, Lubna_Lah",,hey u block girl jo bhi bolna h samn bolo ye kya h eect,0,0,-0.4404,0,,
1.25E+18,1.11E+18,MichaelAmaro8,,wife suck said way big,0,0.1,-0.4404,0,,
1.25E+18,1.10E+18,IwriteOK,,suck bin laden,0,0,-0.4404,0,,
1.25E+18,1.09E+18,Bucks,,call greek freak,0,0,-0.4404,0,,
1.25E+18,232254177,fallon_donal,,left lost spain spanish republican play part defeat nazism countri honou,0,0,-0.4404,0,,
1.25E+18,2953269505,captainuwu,,realli say anyth april fool shot movi comeback start co,0.2,0.2,-0.4404,0,,
1.25E+18,3255109188,ShiningShehnaz,"Shehnaazians, armyofQueensana, Shehnaazians, shehnaazgill",request plzzz unfollow devoleena nd block,0,0,-0.4404,0,,
1.25E+18,7.69E+17,existentialfish,,earth would respond dismiss way someon qualifi offer inform critic http,0,0,-0.4404,0,,
1.25E+18,7.24E+17,YoSwaroop,21DayLifeSkillChallenge,day two player sit opposit amp talk continu one stop lose st,-0.15,0.05,-0.4404,0,,
